Tweet_ID,Tweet Text,Tweet EntitiesTweet created_at,user_id
1521005709546172416,Xavi: Mallorca win gives Barcelona ´peace of mind´ in Champions League race https://t.co/i13vCJo22c #Soccer,"{'annotations': [{'start': 0, 'end': 3, 'probability': 0.8267, 'type': 'Person', 'normalized_text': 'Xavi'}, {'start': 6, 'end': 13, 'probability': 0.562, 'type': 'Organization', 'normalized_text': 'Mallorca'}, {'start': 25, 'end': 33, 'probability': 0.8288, 'type': 'Organization', 'normalized_text': 'Barcelona'}], 'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/i13vCJo22c', 'expanded_url': 'https://www.15minutenews.com/article/2022/05/02/214947452/xavi-mallorca-win-gives-barcelona-peace-of-mind-in-champions-league-race/', 'display_url': '15minutenews.com/article/2022/0…', 'status': 200, 'title': 'Xavi: Mallorca win gives Barcelona ´peace of mind´ in Cha...', 'description': 'Xavi said Barcelona’s 2-1 win over Real Mallorca gives them “peace of mind” in their hunt for Champions League qualification, and...', 'unwound_url': 'https://www.15minutenews.com/article/2022/05/02/214947452/xavi-mallorca-win-gives-barcelona-peace-of-mind-in-champions-league-race/'}], 'hashtags': [{'start': 100, 'end': 107, 'tag': 'Soccer'}]}",2022-05-02 05:56:34+00:00,1541063240
1521005688788553728,"Postecoglou, McGregor and Chinchilla win prizes at PFA Scotland Awards https://t.co/5vacrZYYxK #Soccer","{'annotations': [{'start': 0, 'end': 10, 'probability': 0.7084, 'type': 'Person', 'normalized_text': 'Postecoglou'}, {'start': 13, 'end': 20, 'probability': 0.9513, 'type': 'Person', 'normalized_text': 'McGregor'}, {'start': 26, 'end': 35, 'probability': 0.9611, 'type': 'Person', 'normalized_text': 'Chinchilla'}, {'start': 51, 'end': 69, 'probability': 0.4845, 'type': 'Other', 'normalized_text': 'PFA Scotland Awards'}], 'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/5vacrZYYxK', 'expanded_url': 'https://www.15minutenews.com/article/2022/05/02/214946570/postecoglou-mcgregor-and-chinchilla-win-prizes-at-pfa-scotland-awards/', 'display_url': '15minutenews.com/article/2022/0…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1521005753871577088/rtFMhev6?format=jpg&name=orig', 'width': 1920, 'height': 1080}, {'url': 'https://pbs.twimg.com/news_img/1521005753871577088/rtFMhev6?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Postecoglou, McGregor and Chinchilla win prizes at PFA Scotland Awa...', 'description': 'Celtic dominated at the PFA Scotland Awards as Ange Postecoglou, Callum McGregor, Tom Rogic and Liel Abada took home prizes.', 'unwound_url': 'https://www.15minutenews.com/article/2022/05/02/214946570/postecoglou-mcgregor-and-chinchilla-win-prizes-at-pfa-scotland-awards/'}], 'hashtags': [{'start': 95, 'end': 102, 'tag': 'Soccer'}]}",2022-05-02 05:56:29+00:00,1541063240
1521005192157667328,"""how dare you, a childish and heartless guy make fun of our soccer club!"" moriyama miki-get love!!! #bot","{'hashtags': [{'start': 100, 'end': 104, 'tag': 'bot'}]}",2022-05-02 05:54:31+00:00,997069243
1521004963291295745,"@thvperu @BTS_twt Soccer

MILLION REASONS FOR V

I'm Listen to #V_ChristmasTree the Global Stable Hit #ChristmasTree by #V of @BTS_twt","{'hashtags': [{'start': 63, 'end': 79, 'tag': 'V_ChristmasTree'}, {'start': 102, 'end': 116, 'tag': 'ChristmasTree'}, {'start': 120, 'end': 122, 'tag': 'V'}], 'mentions': [{'start': 0, 'end': 8, 'username': 'thvperu', 'id': '1498825140284633088'}, {'start': 9, 'end': 17, 'username': 'BTS_twt', 'id': '335141638'}, {'start': 126, 'end': 134, 'username': 'BTS_twt', 'id': '335141638'}]}",2022-05-02 05:53:36+00:00,1483016910597857280
1521004807418433536,"#MUFC With just three games of his managerial premiership remaining, the German will be determined to go out on a high and end what has been a disappointing spell in temporary charge with a sense of positivity

Continue reading at https://t.co/sg2QHfhDnq | 10z Soccer","{'annotations': [{'start': 257, 'end': 266, 'probability': 0.8429, 'type': 'Organization', 'normalized_text': '10z Soccer'}], 'urls': [{'start': 231, 'end': 254, 'url': 'https://t.co/sg2QHfhDnq', 'expanded_url': 'https://soccer.10ztalk.com/2022/05/02/ralf-rangnick-has-given-manchester-united-what-they-needed-george-smith/', 'display_url': 'soccer.10ztalk.com/2022/05/02/ral…'}], 'hashtags': [{'start': 0, 'end': 5, 'tag': 'MUFC'}]}",2022-05-02 05:52:59+00:00,216414228
1521004639105298433,"New York City FC deliver in second half, Nashville SC packs new home stadium https://t.co/8hfTFNjglR #Soccer","{'annotations': [{'start': 0, 'end': 15, 'probability': 0.7682, 'type': 'Organization', 'normalized_text': 'New York City FC'}, {'start': 41, 'end': 52, 'probability': 0.4541, 'type': 'Organization', 'normalized_text': 'Nashville SC'}], 'urls': [{'start': 77, 'end': 100, 'url': 'https://t.co/8hfTFNjglR', 'expanded_url': 'https://www.15minutenews.com/article/2022/05/02/214952375/new-york-city-fc-deliver-in-second-half-nashville-sc-packs-new-home-stadium/', 'display_url': '15minutenews.com/article/2022/0…'}], 'hashtags': [{'start': 101, 'end': 108, 'tag': 'Soccer'}]}",2022-05-02 05:52:19+00:00,1541063240
1521004377980522499,"Beth finds herself strangely attracted to the new soccer coach, a young woman and friend of her stepdaughter.

Winning With the Coach and My Stepdaughter by @ AuthorQWinston.

erotic #erotica #romance menage lesbian lesfic LGBT Kindle ebooks
https://t.co/0gJdC5arDZ https://t.co/jCSXyvHSCb","{'annotations': [{'start': 0, 'end': 3, 'probability': 0.9985, 'type': 'Person', 'normalized_text': 'Beth'}], 'urls': [{'start': 242, 'end': 265, 'url': 'https://t.co/0gJdC5arDZ', 'expanded_url': 'https://www.amazon.com/gp/product/B01MUI3765', 'display_url': 'amazon.com/gp/product/B01…'}, {'start': 266, 'end': 289, 'url': 'https://t.co/jCSXyvHSCb', 'expanded_url': 'https://twitter.com/EroticaNation/status/1521004377980522499/photo/1', 'display_url': 'pic.twitter.com/jCSXyvHSCb'}], 'hashtags': [{'start': 183, 'end': 191, 'tag': 'erotica'}, {'start': 192, 'end': 200, 'tag': 'romance'}]}",2022-05-02 05:51:17+00:00,4135631423
1521003313046560769,"#Football #Soccer Man City, Liverpool maintain their title duel https://t.co/KSKxNI9u6H","{'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/KSKxNI9u6H', 'expanded_url': 'http://dlvr.it/SPbt3D', 'display_url': 'dlvr.it/SPbt3D'}], 'hashtags': [{'start': 0, 'end': 9, 'tag': 'Football'}, {'start': 10, 'end': 17, 'tag': 'Soccer'}]}",2022-05-02 05:47:03+00:00,1114914925883817984
1521003309296807936,Soccer Super League https://t.co/y7cBQSbAM6 #soccer #league #Football #13,"{'urls': [{'start': 20, 'end': 43, 'url': 'https://t.co/y7cBQSbAM6', 'expanded_url': 'https://www.kawakitanet.com/wleague/', 'display_url': 'kawakitanet.com/wleague/'}], 'hashtags': [{'start': 44, 'end': 51, 'tag': 'soccer'}, {'start': 52, 'end': 59, 'tag': 'league'}, {'start': 60, 'end': 69, 'tag': 'Football'}]}",2022-05-02 05:47:02+00:00,143350032
1521003158730076160,"#Football is an invasion type game

Key invasion game principles:

- Time (When to...)
- Space (Where to...)
- Risk (What to do...)
- Execution (How to...)

Players, teams &amp; coaches who master these principles will perform at the elite levels

#soccer #coach #coaching #footballer https://t.co/Ms2a9XK22r","{'urls': [{'start': 285, 'end': 308, 'url': 'https://t.co/Ms2a9XK22r', 'expanded_url': 'https://twitter.com/EvBasedFootball/status/1521003158730076160/photo/1', 'display_url': 'pic.twitter.com/Ms2a9XK22r'}], 'hashtags': [{'start': 0, 'end': 9, 'tag': 'Football'}, {'start': 248, 'end': 255, 'tag': 'soccer'}, {'start': 256, 'end': 262, 'tag': 'coach'}, {'start': 263, 'end': 272, 'tag': 'coaching'}, {'start': 273, 'end': 284, 'tag': 'footballer'}]}",2022-05-02 05:46:26+00:00,1308413477640437760
